Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1980-12-12,0.09883446991443634,0.09926416115370361,0.09883446991443634,0.09883446991443634,469033600
1980-12-15,0.09367820620536804,0.0941078974033573,0.09367820620536804,0.0941078974033573,175884800
1980-12-16,0.08680246025323868,0.08723214589269596,0.08680246025323868,0.08723214589269596,105728000
1980-12-17,0.08895085006952286,0.08938054120547162,0.08895085006952286,0.08895085006952286,86441600
1980-12-18,0.09152975678443909,0.09195944219514036,0.09152975678443909,0.09152975678443909,73449600
1980-12-19,0.09711568802595139,0.09754537913953522,0.09711568802595139,0.09711568802595139,48630400
1980-12-22,0.10184229910373688,0.10227275915299852,0.10184229910373688,0.10184229910373688,37363200
1980-12-23,0.10613992810249329,0.10656961927786765,0.10613992810249329,0.10613992810249329,46950400
1980-12-24,0.11172589659690857,0.11215558784011954,0.11172589659690857,0.11172589659690857,48003200
1980-12-26,0.12203924357891083,0.12246893502348809,0.12203924357891081,0.12203924357891081,55574400
1980-12-29,0.12375789135694504,0.1241875824316622,0.12375789135694504,0.12375789135694504,93161600
1980-12-30,0.12075012922286987,0.12117980900954323,0.12075012922286987,0.12117980900954323,68880000
1980-12-31,0.11731263995170593,0.11774233127848494,0.11731263995170593,0.11774233127848494,35750400
1981-01-02,0.11860165745019913,0.11946103977763702,0.11860165745019913,0.11860165745019913,21660800
1981-01-05,0.11602360010147095,0.11645328003749889,0.11602360010147095,0.11645328003749889,35728000
1981-01-06,0.1108664721250534,0.1112961632055392,0.1108664721250534,0.1112961632055392,45158400
1981-01-07,0.10613992810249329,0.10656961927786765,0.10613992810249329,0.10656961927786765,55686400
1981-01-08,0.10399150103330612,0.10442118075823775,0.10399150103330612,0.10442118075823775,39827200
1981-01-09,0.10957741737365723,0.1100071084816529,0.10957741737365723,0.10957741737365723,21504000
1981-01-12,0.10871810466051102,0.10957747586054399,0.10871810466051102,0.10957747586054399,23699200
1981-01-13,0.1048508957028389,0.10528058699972989,0.1048508957028389,0.10528058699972989,23049600
1981-01-14,0.10528061538934708,0.10571030680210722,0.10528061538934708,0.10528061538934708,14291200
1981-01-15,0.10742901265621185,0.10828838362052622,0.10742901265621185,0.10742901265621185,14067200
1981-01-16,0.10656967014074326,0.1069993615211979,0.10656967014074326,0.1069993615211979,13395200
1981-01-19,0.11301491409540176,0.11344460516844526,0.11301491409540176,0.11301491409540176,41574400
1981-01-20,0.10957741737365723,0.1100071084816529,0.10957741737365723,0.1100071084816529,30083200
1981-01-21,0.11172589659690857,0.11258526760867986,0.11172589659690857,0.11172589659690857,15904000
1981-01-22,0.11301491409540176,0.11387429624148876,0.11301491409540176,0.11301491409540176,35548800
1981-01-23,0.11258526891469955,0.11344465141109059,0.11258526891469955,0.11301496016289507,11222400
1981-01-26,0.1108664721250534,0.1112961632055392,0.1108664721250534,0.1112961632055392,24640000
1981-01-27,0.110007144510746,0.11086651553354802,0.11000714451074602,0.11086651553354802,23699200
1981-01-28,0.10656967014074326,0.1069993615211979,0.10656967014074326,0.1069993615211979,28156800
1981-01-29,0.10270242393016815,0.10313211511508742,0.10270242393016815,0.10313211511508742,43904000
1981-01-30,0.09711568802595139,0.09797507025311904,0.09711568802595139,0.09797507025311904,46188800
1981-02-02,0.09152975678443909,0.09195944219514036,0.09152975678443909,0.09195944219514036,23766400
1981-02-03,0.09496729075908661,0.09539697629529811,0.09496729075908661,0.09496729075908661,19152000
1981-02-04,0.09840477257966995,0.09883445226756746,0.09840477257966995,0.09840477257966995,27865600
1981-02-05,0.09840477257966995,0.09926414343011347,0.09840477257966995,0.09840477257966995,7929600
1981-02-06,0.09883446991443634,0.09926416115370361,0.09883446991443634,0.09883446991443634,13865600
1981-02-09,0.09367820620536804,0.09453758286402182,0.09367820620536804,0.09453758286402182,16755200
1981-02-10,0.09367820620536804,0.0941078974033573,0.09367820620536804,0.09367820620536804,18345600
1981-02-11,0.09067042917013168,0.09110011481277976,0.09067042917013168,0.09110011481277976,13843200
1981-02-12,0.08981023728847504,0.09024069727703617,0.08981023728847504,0.09024069727703617,14560000
1981-02-13,0.08766181766986847,0.08852119449396886,0.08766181766986847,0.08852119449396886,11155200
1981-02-17,0.08981023728847504,0.09024069727703617,0.08981023728847504,0.08981023728847504,12275200
1981-02-18,0.09367820620536804,0.09453758286402182,0.09367820620536804,0.09367820620536804,19241600
1981-02-19,0.08809149265289307,0.08852118388209501,0.08809149265289307,0.08852118388209501,22310400
1981-02-20,0.08336494117975235,0.08379463249979507,0.08336494117975235,0.08379463249979507,24371200
1981-02-23,0.08465399593114853,0.0850836872119342,0.08465399593114853,0.08465399593114853,14112000
1981-02-24,0.08164612203836441,0.08250549825342283,0.08164612203836441,0.08250549825342283,16979200
1981-02-25,0.08680246025323868,0.08723214589269596,0.08680246025323868,0.08680246025323868,19488000
1981-02-26,0.08809149265289307,0.08852118388209501,0.08809149265289307,0.08809149265289307,10841600
1981-02-27,0.09110008180141449,0.09195945851263083,0.09110008180141449,0.09110008180141449,14761600
1981-03-02,0.09152975678443909,0.09195944219514036,0.09152975678443909,0.09152975678443909,11760000
1981-03-03,0.0902407169342041,0.09067040821487136,0.0902407169342041,0.09067040821487136,16172800
1981-03-04,0.08938055485486984,0.08981024031911242,0.08938055485486984,0.08981024031911242,13708800
1981-03-05,0.08895085006952286,0.08938054120547162,0.08895085006952286,0.08938054120547162,5376000
1981-03-06,0.08809149265289307,0.08895086937397181,0.08809149265289307,0.08895086937397181,11603200
1981-03-09,0.0812164917588234,0.0816461772884606,0.0812164917588234,0.0816461772884606,15321600
1981-03-10,0.07734853029251099,0.07777821585430543,0.07734853029251099,0.07777821585430543,28380800
1981-03-11,0.07434068620204926,0.07520006280623336,0.07434068620204926,0.07520006280623336,29859200
1981-03-12,0.07734853029251099,0.07777821585430543,0.07734853029251099,0.07734853029251099,59248000
1981-03-13,0.07648914307355881,0.07691882857716592,0.07648914307355881,0.07691882857716592,231302400
1981-03-16,0.07949772477149963,0.08035710142330814,0.07949772477149963,0.07949772477149963,37228800
1981-03-17,0.08336494117975235,0.08422431808251143,0.08336494117975235,0.08336494117975235,43747200
1981-03-18,0.08852120488882065,0.08938058181383579,0.08852120488882065,0.08852120488882065,36937600
1981-03-19,0.08766181766986847,0.08809150321325575,0.08766181766986847,0.08809150321325575,37811200
1981-03-20,0.08852120488882065,0.08938058181383579,0.08852120488882065,0.08852120488882065,14604800
1981-03-23,0.09195952117443085,0.09281889847123233,0.09195952117443085,0.09195952117443085,22019200
1981-03-24,0.09152975678443909,0.09195944219514036,0.09152975678443909,0.09195944219514036,28156800
1981-03-25,0.08981023728847504,0.09067038846410364,0.08981023728847504,0.09067038846410364,7056000
1981-03-26,0.08809149265289307,0.08852118388209501,0.08809149265289307,0.08852118388209501,12275200
1981-03-27,0.08508367091417313,0.08551335637532678,0.08508367091417313,0.08551335637532678,12252800
1981-03-30,0.08508367091417313,0.08594304757380519,0.08508367091417313,0.08508367091417313,9900800
1981-03-31,0.08422429114580154,0.0850836677737138,0.08422429114580154,0.0850836677737138,15993600
1981-04-01,0.08336494117975235,0.08379463249979507,0.08336494117975235,0.08379463249979507,34070400
1981-04-02,0.09067042917013168,0.09110011481277976,0.09067042917013168,0.09067042917013168,31404800
1981-04-03,0.09110008180141449,0.0915297730256852,0.09110008180141449,0.09110008180141449,16486400
1981-04-06,0.08938055485486984,0.08981024031911242,0.08938055485486984,0.08981024031911242,22803200
1981-04-07,0.08852120488882065,0.08895089048266497,0.08852120488882065,0.08895089048266497,10684800
1981-04-08,0.09281884133815765,0.09367821810598423,0.09281884133815765,0.09281884133815765,21952000
1981-04-09,0.09453758597373962,0.09496727718586313,0.09453758597373962,0.09453758597373962,12499200
1981-04-10,0.0958266332745552,0.09625631865699161,0.0958266332745552,0.0958266332745552,33465600
1981-04-13,0.0958266332745552,0.09625631865699161,0.0958266332745552,0.0958266332745552,16060800
1981-04-14,0.0958266332745552,0.09625631865699161,0.0958266332745552,0.0958266332745552,6652800
1981-04-15,0.09110008180141449,0.0915297730256852,0.09110008180141449,0.0915297730256852,34048000
1981-04-16,0.08594305068254471,0.086372736159241,0.08594305068254471,0.086372736159241,23878400
1981-04-20,0.08852120488882065,0.08895089048266497,0.08852120488882065,0.08852120488882065,35347200
1981-04-21,0.09453758597373962,0.09496727718586313,0.09453758597373962,0.09453758597373962,28537600
1981-04-22,0.09797514975070953,0.09840484121294744,0.09797514975070953,0.09797514975070953,18995200
1981-04-23,0.10055320709943771,0.10098289826906169,0.10055320709943771,0.10055320709943771,58016000
1981-04-24,0.09969384968280792,0.10055322066333003,0.09969384968280792,0.10055322066333003,35056000
1981-04-27,0.09883446991443634,0.09926416115370361,0.09883446991443634,0.09926416115370361,38528000
1981-04-28,0.09711568802595139,0.09754537913953522,0.09711568802595139,0.09754537913953522,32188800
1981-04-29,0.0958266332745552,0.09625631865699161,0.0958266332745552,0.09625631865699161,13641600
1981-04-30,0.09754540771245956,0.09840479019135685,0.09754540771245956,0.09754540771245956,12611200
1981-05-01,0.09754540771245956,0.09840479019135685,0.09754540771245956,0.09754540771245956,16553600
1981-05-04,0.09711568802595139,0.09754537913953522,0.09711568802595139,0.09754537913953522,14448000
1981-05-05,0.09668602049350739,0.09711570018624614,0.09668602049350739,0.09711570018624614,17539200
1981-05-06,0.09410790354013443,0.09453758902881876,0.09410790354013443,0.09453758902881876,18950400
1981-05-07,0.09539695829153061,0.09582664948397449,0.09539695829153061,0.09539695829153061,9363200
